station_european_code,component_code,component_name,component_caption,measurement_unit,measurement_european_group_code,statistics_period,statistics_year,statistics_average_group,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid,statistics_calculated
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,P50,50 percentile,29.333,73.973,270,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Mean,annual mean,32.221,73.973,270,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,P95,95 percentile,57.409,73.973,270,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,P98,98 percentile,63.75,73.973,270,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Max,maximum,130.591,73.973,270,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Max36,36th highest value,46.0,73.973,270,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Max8,8th highest value,61.125,73.973,270,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Days(c > 50),days with c > 50 ug/m3,25.0,73.973,270,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,P50,50 percentile,29.0,73.779,6463,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,Mean,annual mean,32.188,73.779,6463,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,P95,95 percentile,64.0,73.779,6463,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,P98,98 percentile,80.0,73.779,6463,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,Max,maximum,172.0,73.779,6463,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2008,day,P50,50 percentile,26.99,95.355,349,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2008,day,Mean,annual mean,28.541,95.355,349,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2008,day,P95,95 percentile,47.441,95.355,349,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2008,day,P98,98 percentile,54.483,95.355,349,True
DENW212,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2008,day,Max,maximum,80.635,95.355,349,True
